Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,ratings
85,Chinatown,40.71561842231432,-73.99427936255978,Golden Diner,5b9686e7d807ee002c498f8d,40.71245135327847,-73.99421274662019,Diner,8.1
86,Chinatown,40.71561842231432,-73.99427936255978,Factory Tamal,5885471a0037eb3b6c2973d2,40.715876124907155,-73.99046733643608,Mexican Restaurant,8.6
87,Chinatown,40.71561842231432,-73.99427936255978,Phở Grand,4388f700f964a520162b1fe3,40.71782396789147,-73.99280072371245,Vietnamese Restaurant,8.7
88,Chinatown,40.71561842231432,-73.99427936255978,The Flower Shop,583e5099b21014593fb544b0,40.71805698854421,-73.9920596318328,American Restaurant,8.3
89,Chinatown,40.71561842231432,-73.99427936255978,Kopitiam,5b33b3c74a7aae002cb0611d,40.71397394589247,-73.9908676845466,Malay Restaurant,9.1
90,Chinatown,40.71561842231432,-73.99427936255978,V One Salon,4b76d3f4f964a52041622ee3,40.71471340153647,-73.99759144308398,Salon / Barbershop,8.7
91,Chinatown,40.71561842231432,-73.99427936255978,Zu Yuan Spa,517d6bede4b031459a5bc942,40.715468729173686,-73.9986270534065,Spa,9.2
92,Chinatown,40.71561842231432,-73.99427936255978,Malaysia Beef Jerky,4a00e0a7f964a520bc701fe3,40.71852709684469,-73.99582403497949,Snack Place,8.6
93,Chinatown,40.71561842231432,-73.99427936255978,CW Pencil Enterprise,5519bf61498ea5e5dde6cccc,40.71758268630868,-73.99066150188445,Paper / Office Supplies Store,8.8
94,Chinatown,40.71561842231432,-73.99427936255978,Peachy's,5ac97a9967f62b7f2980fe0d,40.71445204430717,-73.99799106067414,Cocktail Bar,8.8
95,Chinatown,40.71561842231432,-73.99427936255978,Joy's Flowers & Gifts,510eeed5e4b0ae0255d2fcee,40.71560293093889,-73.9899371418026,Gift Shop,8.4
96,Chinatown,40.71561842231432,-73.99427936255978,Mr. Fong's,5591ef05498e888b3bbd3ce1,40.71234870755251,-73.99429476756772,Cocktail Bar,8.3
97,Chinatown,40.71561842231432,-73.99427936255978,iLook,52699cd7498e879283280c11,40.716163255085476,-73.99815860374045,Optical Shop,8.3
98,Chinatown,40.71561842231432,-73.99427936255978,Yi Ji Shi Mo Noodle Corp,5c965dad5455b2002c058659,40.7182541242483,-73.99593030303214,Chinese Restaurant,8.3
99,Chinatown,40.71561842231432,-73.99427936255978,Fay Da Bakery,482c4142f964a520d14f1fe3,40.71676493044495,-73.99787389276216,Bakery,8.9
100,Chinatown,40.71561842231432,-73.99427936255978,JaJaJa Plantas Mexicana,58f55261419a9e48f4dd0706,40.71419762724543,-73.99015687364441,Mexican Restaurant,7.9
101,Chinatown,40.71561842231432,-73.99427936255978,Hwa Yuan,59d828f0916bc1155fde2c04,40.713618266530226,-73.99597818966741,Chinese Restaurant,8.2
